country_co,country_na,croparea_km,acidcroparea_km,propacidcroparea,pop,pop_cropland,pop_acidcropland,densitypop_acidcropland
,Comoros,46.94120795054656,0,0,829852.1673805465,19134.96777741675,0,
,Mayotte,3.253663014921899,0,0,240488.7156741349,13557.852255967082,0,
LC,Sao Tome & Principe,173.48847376629757,0,0,194002.01960243052,21677.58267550001,0,
ER,Eritrea,20861.698532195278,0,0,5889788.128331893,2751180.212862118,0,
DJ,Djibouti,181.78279329790303,0,0,911714.9623572378,22423.692729797778,0,
,Namibia,16443.06043167022,0.05630665564000746,3.424341586165907e-6,2728978.090170479,671310.6320024588,0,
MR,Mauritania,97051.2060969935,2.7803752464294433,2.8648538830632576e-5,4545529.2774914615,1930922.6549635306,57.34216499328613,11.468432998657226
BS,Burkina Faso,104688.66584700407,173.3155746338639,0.0016555333209342237,20804626.729719184,7983942.732349975,6768.443571696563,34.432979766236876
MZ,Mozambique,114727.60547898055,4701.322564702738,0.04097812854260326,31619956.90740972,7840988.501524757,215568.57175275433,59.36392546834264
LI,Lesotho,7440.621900810533,127.84469758067328,0.017181990871858,2260697.711408334,810515.2826203225,38300.36509749469,299.04752441474466
TZ,Tanzania,214928.72800842946,16796.358670299876,0.07814850451095177,61904567.96028904,25158037.941677883,1909214.897718584,122.8644265932984
NE,Nigeria,421701.481569787,23011.706135480297,0.054568710666652254,206696048.91304386,70642456.36255777,8819595.658752292,385.90951189875005
ET,Ethiopia,292536.14524373907,33424.40741108488,0.11425735914868194,111837713.31145856,64931703.728435375,5822876.975605249,179.58539895155593
CH,Swaziland,3572.740926059573,278.51338809569774,0.07795510333934963,1369139.9561644278,412178.9421101186,38669.91728997651,210.57099038937434
,Zimbabwe,102221.94120159364,1119.9074403788854,0.01095564638290616,17484264.301710393,5619153.469326033,56741.77696654376,77.08946591758169
TT,Chad,221363.90577256648,32.86930036428833,1.4848536508051534e-4,16410500.939470083,7296966.039470923,384.262731552124,76.8525463104248
MN,Madagascar,47153.33632910986,9634.383645191712,0.20432029619172415,27596077.461379647,2048934.3296500687,147217.18403372436,53.93113137656551
,Liberia,3991.4509389079803,3924.314876736172,0.9831800357315238,5056919.965811388,307108.9411522956,294212.9397819636,123.1719804637002
,Benin,31151.616602038197,373.5471203621057,0.011991259559148053,12316491.338504257,2948403.9758666535,119854.00477772507,400.62882559702035
,Malawi,46234.34686883107,3691.3324871328155,0.07983961572130115,20022134.627919786,14785612.928231964,1252607.602709172,322.17208741493596
GU,Equatorial Guinea,541.2662869715333,297.29326823029714,0.5492550993591304,948883.8431319164,34115.65526636535,10651.733504514134,72.71683783500934
,Botswana,13189.720148024855,23.23932498901906,0.001761927071098557,2458300.4770701206,350645.31759600516,36.7369950363449,1.023146978404101
SS,South Sudan,31255.226758386216,216.18512715822337,0.006916767196392772,14353903.041177763,1466824.876019603,16840.821142096174,28.291407921593525
CM,Cameroon,41764.606270117525,13857.6261107568,0.33180310670549523,26248727.70012203,5840512.3210865315,1582547.1992880236,264.9557087948889
TD,Dem Rep of the Congo,134813.08981808816,114800.19810030726,0.8515508268167018,90274581.9421645,12827064.693401158,9600281.337276451,107.59259486683622
DE,"Gambia, The",4106.687118437768,686.3359971814011,0.167126439728014,2265889.924167373,725146.3973073384,118753.52352841695,152.76038046009657
,Guinea,9314.105907105535,5549.943397655117,0.595864321600765,14243003.87261908,919345.908550212,508556.1422460435,151.4809912856911
SG,Senegal,74636.89467269985,4507.416739861284,0.06039126841527043,17301450.913729906,7773458.260826185,587219.2632750045,115.88544339039557
,Guinea-Bissau,2455.071404052089,2208.4178835421235,0.8995330563083158,2063194.144426096,213801.47069044155,198025.42253888398,99.67565207698146
ML,Mali,223393.81371030284,2168.6058194296484,0.009707546432963883,20500365.517871324,8620785.124868132,107142.7440168618,43.39678340888692
AO,Angola,59455.701621570595,8216.424376578881,0.13819405292490827,29006422.813389137,3056009.1983863176,174956.05104242,26.304759639875986
CG,Central African Rep,9488.211654476378,1610.2996473225949,0.16971582274546781,5389502.151903788,331394.36985360354,39330.911531574704,46.14774833228216
SO,Somalia,23134.840830444107,3.7917841534195245,1.6389929722056946e-4,12301412.87819161,2220173.6907484266,2.3647519368751375,1.2306362120472656
CD,Rep of the Congo,22258.618366085622,18408.00895806635,0.8270059109380187,5196896.1787525285,680403.3055619043,406465.6923381864,20.114578120749353
NU,Niger,205229.11572715314,5844.987084967634,0.028480301463357637,24208065.127030045,14314356.633444779,490863.10871720355,46.951772805234825
,Zambia,82065.5391989122,18114.946444578985,0.22073755465947276,18871473.509254042,4907756.010669491,489942.2381330739,32.40590692868715
GM,Gabon,6718.688615201385,5196.32282949941,0.7734132547447514,1890993.9078858253,209099.21466495658,160581.55072940528,40.83827711744383
RW,Rwanda,11548.706007094295,9827.051792580764,0.8509223272758064,12978890.430869866,8159687.955385487,7100040.537550358,535.299349654279
ZM,South Africa,172458.78630064448,5386.343998082976,0.03123264470093773,56544569.50244427,12598232.562387161,296292.35330486856,65.64269940993894
UG,Uganda,88770.01587411977,19180.78398146742,0.21607277854570525,45884225.438531235,29185545.699683454,6507233.113929518,317.9338482419603
CL,Cote d'Ivoire,42460.97565605957,22126.7479895611,0.5211078560415371,25549054.251955584,2586880.099129605,862235.1091773125,69.50605165906799
GH,Ghana,43087.42194939538,8796.134939918511,0.20414623437552737,30435831.74870836,6056122.5797173185,823837.6212163882,225.44588684079488
,Togo,18322.269563184218,245.15630650089096,0.013380236856327823,8148188.0481254235,2558755.549671923,9194.241394222485,253.21649805883285
KE,Kenya,104693.75685700416,17922.934101998435,0.1711939149005652,52001776.15029694,32690398.852887843,11660704.697547032,596.6742727937733
,Burundi,6904.922947121767,4678.460856524825,0.6775543901579647,13090618.526182782,4812767.214099283,3312406.47342064,603.7986917886873
SL,Sierra Leone,4579.849094679174,4320.649524687587,0.9434043426686868,7058354.249581382,414888.0895061324,331612.25215884566,116.03600732283084
